fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,finalpoints,wins,gp,oppfg,oppfga,oppfg3,oppfg3a,oppft,oppfta,opporb,oppdrb,oppast,oppstl,oppblk,opptov,opppf,opppts,oppfinalpoints,oppwins,oppgp
11,29,2,10,4,6,4,9,8,3,1,1,3,28,117,1,1,7,22,1,5,3,4,5,9,3,0,4,7,7,18,88,0,1
10,20,4,4,2,2,1,4,7,1,1,2,5,26,113,1,1,9,16,1,2,7,7,0,8,6,1,2,3,3,26,104,0,1
7,20,2,10,4,4,0,9,4,3,2,4,2,20,100,0,1,12,27,3,4,4,4,5,12,7,4,0,3,3,31,129,1,1
14,25,2,4,3,6,3,12,10,4,0,3,5,33,130,1,1,9,25,3,10,0,0,4,10,5,2,1,5,6,21,121,0,1
9,25,2,4,7,10,8,6,4,1,1,1,2,27,96,0,1,11,25,0,3,1,3,7,7,4,0,1,4,7,23,108,1,1
10,18,0,0,13,13,1,10,4,2,0,3,4,33,109,1,1,10,23,1,3,2,2,0,7,4,2,0,3,9,23,91,0,1
12,24,4,10,5,5,5,6,10,5,2,4,5,33,122,1,1,12,22,5,8,2,2,3,6,7,2,0,5,5,31,117,0,1
9,20,1,1,5,6,2,9,7,0,3,3,4,24,96,0,1,14,25,2,7,2,2,1,9,11,2,2,0,4,32,107,1,1
11,27,0,3,2,2,2,7,9,5,1,2,7,24,102,0,1,10,18,2,3,8,12,1,12,3,2,1,5,4,30,107,1,1
11,24,6,9,1,2,4,7,7,1,1,3,5,29,102,1,1,13,21,2,3,4,7,2,8,9,3,2,1,2,32,98,0,1
10,20,1,6,3,8,1,13,6,3,4,6,9,24,97,0,1,8,22,1,5,6,8,2,10,5,2,1,5,5,23,103,1,1
8,19,0,4,3,4,0,9,3,2,1,3,5,19,94,0,1,12,25,1,7,5,6,3,11,8,1,0,3,5,30,113,1,1
15,25,7,13,1,1,4,5,9,1,0,5,6,38,120,1,1,16,24,2,4,4,7,2,4,9,2,0,1,4,38,114,0,1
10,25,2,4,7,7,7,10,4,1,0,5,1,29,114,1,1,13,26,1,3,0,0,3,7,9,5,3,3,6,27,99,0,1
11,23,3,4,5,8,4,12,9,2,0,3,4,30,105,1,1,8,19,2,6,2,4,0,8,5,2,1,3,6,20,99,1,2
11,22,3,6,2,3,2,6,5,1,2,3,6,27,106,1,2,11,23,2,5,4,4,4,6,3,3,1,2,4,28,114,1,1
11,18,0,2,7,7,0,8,7,3,0,6,6,29,94,1,2,10,20,1,5,6,7,3,5,5,3,3,4,5,27,102,2,2
11,24,1,3,0,0,5,8,3,0,1,3,4,23,91,1,2,11,24,3,5,3,3,4,8,5,0,1,2,0,28,94,2,2
8,25,2,11,2,2,3,11,4,1,0,1,5,20,103,1,2,11,27,2,4,3,5,5,13,8,0,3,3,4,27,94,1,2
11,26,2,8,0,0,1,13,6,0,2,0,2,24,108,1,2,9,26,2,6,2,4,3,13,6,0,0,0,2,22,82,0,2
9,20,2,4,5,6,2,4,5,3,0,6,5,25,113,2,2,16,23,4,8,4,6,3,9,8,2,1,4,5,40,110,0,2
8,20,3,7,4,4,2,11,3,2,0,6,4,23,91,1,2,7,21,3,5,4,4,1,7,5,3,2,3,3,21,97,2,2
11,21,2,6,0,0,1,10,3,2,0,3,3,24,98,0,2,8,20,5,10,3,3,1,9,8,2,0,4,2,24,106,1,2
11,21,2,6,4,6,4,7,6,0,2,2,3,28,96,1,2,10,21,3,5,4,6,4,6,5,1,1,3,4,27,89,1,2
8,24,0,5,6,9,2,9,7,1,2,3,3,22,114,0,2,13,25,1,6,5,5,2,13,10,2,0,4,7,32,122,1,2
10,23,3,7,1,3,2,9,5,3,2,5,6,24,72,0,2,13,26,2,7,1,3,4,9,11,5,0,3,3,29,104,2,2
6,20,2,12,5,8,2,6,5,3,0,2,3,19,98,2,3,10,18,6,10,2,2,0,10,8,1,2,4,6,28,104,2,3
14,27,3,9,2,2,6,6,7,2,1,1,4,33,105,3,3,9,18,1,2,1,5,3,6,5,1,1,6,4,20,99,0,3
12,20,3,6,5,8,1,11,10,0,2,2,5,32,111,1,2,8,22,1,7,2,2,2,6,4,0,0,3,6,19,104,1,2
10,21,3,5,5,6,1,9,8,3,1,2,2,28,98,3,3,10,21,1,3,2,3,1,10,6,1,1,4,4,23,79,0,3
9,25,2,6,4,4,2,11,6,3,2,1,4,24,110,1,2,7,21,1,9,3,3,2,11,2,1,3,4,4,18,108,1,3
12,28,0,4,0,0,5,10,9,1,2,1,4,24,118,2,2,9,23,1,4,1,1,2,9,7,1,3,3,0,20,101,1,3
9,19,1,2,9,10,4,8,3,0,2,5,3,28,113,1,2,13,27,4,9,3,4,4,7,8,4,0,1,8,33,115,2,3
10,24,3,9,2,2,2,5,6,1,1,2,5,25,106,2,3,14,21,2,5,4,4,1,10,9,2,2,2,3,34,103,0,2
6,20,1,7,6,8,4,10,3,2,1,5,4,19,88,2,2,7,18,3,6,5,6,2,9,5,3,0,4,5,22,75,1,3
11,20,2,7,0,0,2,12,8,2,1,5,4,24,98,2,3,9,20,1,3,2,3,0,6,7,4,0,2,0,21,83,1,3
7,20,2,7,3,4,2,8,4,1,1,5,6,19,99,1,3,9,19,1,4,5,6,1,7,3,1,2,3,3,24,106,4,4
12,25,3,5,3,4,5,11,6,4,2,2,4,30,100,0,3,8,25,3,9,3,3,5,7,7,0,2,4,3,22,106,2,3
12,25,3,7,3,3,2,8,7,2,1,4,3,30,113,3,3,10,24,2,9,2,2,3,4,7,4,2,4,4,24,96,1,3
13,22,5,8,3,7,3,10,6,1,1,2,3,34,93,2,3,10,21,3,5,2,2,1,8,4,1,0,2,4,25,92,0,3
10,20,2,5,5,8,2,13,5,2,0,5,5,27,112,2,3,8,24,2,10,4,4,1,7,6,3,0,2,7,22,103,0,2
7,17,2,8,6,10,5,9,4,2,3,6,4,22,106,3,3,6,20,1,4,2,2,1,8,3,5,1,6,10,15,95,2,4
8,22,2,6,2,3,1,8,3,2,1,5,4,20,88,1,4,15,26,3,7,5,5,2,14,9,3,1,2,4,38,118,3,3
15,28,1,3,2,2,4,9,7,1,1,0,6,33,105,2,3,8,19,3,4,5,6,2,7,4,0,3,2,0,24,102,1,3
9,21,1,4,5,6,2,9,3,1,1,5,1,24,116,3,3,11,25,2,8,0,0,1,8,8,5,0,4,6,24,98,0,4
12,22,3,6,2,2,2,7,7,0,0,3,6,29,128,4,4,13,23,3,10,6,8,3,6,11,2,0,2,4,35,120,2,4
9,21,4,8,5,7,3,10,7,3,1,4,2,27,115,2,4,8,23,1,8,1,1,3,8,4,3,1,6,8,18,108,1,4
11,25,4,6,3,5,3,12,8,1,2,2,4,29,101,0,3,11,26,0,6,2,3,3,9,7,2,1,2,4,24,103,1,4
14,26,3,4,1,3,2,7,7,0,2,1,5,32,102,3,4,11,20,1,4,6,7,1,9,5,0,3,1,4,29,89,1,3
11,22,3,7,3,6,0,8,8,2,4,1,2,28,108,2,4,11,24,2,5,2,3,2,12,4,0,1,2,4,26,96,2,5
11,20,3,6,4,6,2,10,6,5,2,6,4,29,116,1,3,7,22,0,6,2,3,4,9,1,6,0,9,5,16,80,2,4
9,25,5,9,9,10,5,8,6,3,1,0,2,32,113,0,4,11,23,3,9,4,4,3,11,7,0,3,4,6,29,117,2,4
11,21,3,6,3,3,1,3,6,2,1,1,2,28,91,4,5,13,18,7,8,5,5,0,9,12,0,2,3,6,38,106,2,4
11,24,2,8,1,1,3,7,6,3,0,6,4,25,104,2,4,14,23,3,7,3,5,2,9,11,5,2,4,1,34,127,3,4
8,20,3,8,7,10,3,11,4,2,0,5,1,26,109,3,4,11,26,4,12,0,0,2,10,8,3,1,3,6,26,93,0,4
13,18,2,2,1,2,1,7,7,1,2,5,3,29,103,0,3,11,19,1,3,4,7,0,4,6,3,0,1,3,27,113,3,4
11,22,6,11,9,12,1,6,11,3,0,2,4,37,116,3,4,12,21,0,5,4,4,2,9,7,0,3,4,8,28,123,2,5
16,20,4,5,2,3,0,7,12,4,0,5,6,38,109,2,5,11,21,3,5,5,5,3,2,7,3,1,5,4,30,101,3,5
11,21,1,3,2,2,1,8,6,1,2,5,7,25,99,1,4,11,23,4,11,7,9,4,8,7,3,0,3,2,33,118,3,5
14,26,6,9,2,2,2,9,8,5,0,2,7,36,107,3,4,9,23,2,4,5,8,4,8,4,0,4,6,4,25,100,3,4
9,25,0,5,3,4,3,11,6,3,1,2,4,21,89,3,5,5,17,0,5,3,3,0,11,2,0,3,8,4,13,83,0,5
6,24,1,7,2,3,4,11,1,2,0,2,5,15,97,3,5,6,18,2,9,0,0,0,8,5,1,3,3,4,14,81,0,4
10,23,2,6,6,8,5,8,3,2,0,3,5,28,118,1,5,9,19,5,7,5,6,2,5,8,2,3,2,5,28,115,2,5
9,26,2,8,4,6,3,11,7,2,2,3,4,24,83,3,4,9,25,2,8,3,3,4,12,4,3,2,3,7,23,85,4,4
11,24,0,3,1,1,5,7,6,0,0,3,3,23,102,2,5,12,21,4,7,1,4,2,8,6,3,1,2,3,29,94,2,6
12,25,6,11,6,6,2,10,8,2,2,0,1,36,128,5,5,11,25,2,8,1,1,2,8,5,0,2,2,6,25,122,3,5
12,21,3,8,2,2,5,4,9,2,1,7,5,29,125,3,5,11,17,3,6,5,6,1,4,7,6,0,5,2,30,107,2,5
13,23,3,3,8,8,3,8,9,2,1,2,2,37,99,1,4,10,22,2,5,3,4,2,7,8,1,2,4,6,25,102,2,4
12,25,3,6,4,4,5,7,6,1,2,5,4,31,122,4,5,12,24,3,8,5,9,4,7,6,3,1,3,6,32,96,4,5
9,23,1,4,0,2,3,11,4,2,2,5,5,19,95,1,4,7,24,1,9,4,6,3,12,4,3,0,4,2,19,92,3,5
10,22,2,10,1,1,3,14,5,1,2,8,8,23,95,2,6,9,24,2,7,3,7,2,6,5,2,1,3,4,23,99,4,5
10,18,2,4,3,4,3,8,2,1,0,5,3,25,96,4,5,10,22,4,9,3,5,4,5,6,3,1,3,3,27,87,2,5
9,24,0,3,5,8,7,7,3,1,1,3,3,23,104,3,5,14,27,2,3,2,3,5,10,11,2,1,1,5,32,117,2,5
6,22,4,6,4,6,5,8,5,2,0,5,7,20,88,3,6,9,19,1,5,4,5,1,10,6,4,3,4,5,23,99,4,5
11,19,3,5,4,8,2,5,8,1,3,3,3,29,111,0,6,13,24,2,5,2,2,2,8,7,3,0,4,8,30,112,2,6
9,22,4,8,4,4,1,9,5,3,1,3,3,26,95,0,5,11,22,2,8,2,3,2,9,7,2,1,7,5,26,105,3,6
6,20,4,7,1,4,3,9,3,3,1,5,8,17,86,3,6,8,20,2,6,9,11,3,11,4,3,2,3,5,27,100,5,6
9,28,1,10,5,6,6,12,7,2,0,2,2,24,117,3,6,6,21,1,8,2,2,2,13,2,1,2,8,5,15,97,4,6
14,22,1,4,3,5,2,8,9,1,5,1,2,32,112,5,6,11,24,2,3,1,2,5,6,3,1,4,2,3,25,92,1,5
11,20,2,4,5,6,2,13,5,1,2,2,1,29,103,4,6,5,27,1,10,1,2,5,7,2,1,0,3,3,12,86,2,5
14,24,3,6,0,1,3,6,8,2,4,2,2,31,111,3,6,6,20,1,1,2,3,5,7,3,2,2,7,2,15,94,3,6
7,20,2,7,4,5,0,7,4,1,0,2,3,20,88,3,6,10,22,0,5,4,4,4,12,1,2,1,3,5,24,86,1,5
8,25,3,11,0,0,1,7,4,2,4,4,7,19,101,0,5,12,23,5,7,5,8,4,13,8,1,1,4,3,34,102,6,6
13,24,3,6,1,2,2,6,9,5,1,3,5,30,112,4,6,12,23,5,10,1,1,3,9,8,0,1,5,5,30,97,3,6
12,22,5,11,5,6,4,10,10,2,5,3,3,34,117,4,6,11,26,2,5,0,0,4,5,9,1,1,3,4,24,91,2,7
8,21,4,8,4,4,1,9,6,0,1,3,8,24,92,5,7,14,26,4,7,7,8,2,11,11,2,1,0,5,39,116,5,6
13,22,3,5,1,1,2,12,7,2,3,3,5,30,109,2,6,7,22,1,7,5,6,1,5,3,0,1,2,2,20,114,4,7
7,20,1,6,7,8,3,7,6,3,2,5,6,22,94,3,7,9,18,4,8,3,5,1,6,5,3,1,5,7,25,100,4,7
9,22,1,6,4,5,4,10,7,0,1,1,5,23,91,4,6,8,26,1,4,3,3,7,8,4,1,2,1,5,20,96,3,8
7,18,2,11,3,3,0,6,3,3,0,3,1,19,86,1,6,12,22,2,5,1,1,2,10,6,3,0,5,6,27,75,4,7
9,21,0,6,5,6,1,4,8,1,2,5,7,23,107,3,6,17,25,3,6,5,7,4,8,9,3,1,4,5,42,123,3,6
8,26,2,6,5,6,6,11,5,3,1,3,5,23,119,4,7,5,20,1,5,4,7,5,10,4,1,0,6,6,15,108,2,7
16,25,5,7,6,6,0,6,11,4,1,1,2,43,122,5,6,14,22,3,7,3,3,2,7,11,1,2,5,5,34,100,3,7
8,18,4,7,4,7,1,6,5,3,1,5,5,24,84,0,6,13,24,1,3,3,4,5,10,6,4,2,5,8,30,109,5,8
14,29,2,8,0,0,5,9,7,5,2,3,2,30,106,1,6,8,19,5,10,2,2,0,8,7,1,2,6,2,23,114,4,7
14,23,2,4,7,7,2,9,11,1,1,1,3,37,112,4,7,11,22,0,5,2,2,1,7,9,1,3,3,5,24,80,3,7
16,26,2,7,5,6,7,6,8,2,3,3,5,39,97,6,7,10,18,1,2,7,8,2,2,3,2,1,3,5,28,85,2,6
12,23,3,9,1,2,1,9,11,3,2,5,4,28,116,5,7,10,23,0,4,4,6,5,8,7,2,0,5,3,24,106,0,7
14,21,2,3,3,3,1,10,12,4,0,2,1,33,114,6,7,7,19,1,3,0,1,2,6,3,0,1,6,4,15,82,4,7
8,22,2,7,2,4,0,11,5,3,0,4,4,20,106,6,7,8,21,3,8,1,2,1,10,5,1,0,5,4,20,110,5,7
11,17,4,8,7,8,0,6,6,2,0,4,7,33,119,3,7,12,24,1,2,8,13,7,7,9,3,0,4,4,33,110,1,6
11,26,0,7,4,4,3,7,7,4,0,1,4,26,108,4,8,11,18,2,6,2,5,0,10,9,1,2,5,4,26,107,3,7
18,25,5,9,1,2,0,10,12,3,2,2,4,42,124,5,8,10,23,1,3,4,6,3,6,4,1,0,4,4,25,121,2,8
10,18,2,7,5,5,1,9,8,0,1,2,2,27,97,4,8,11,23,3,8,0,0,1,7,8,2,0,0,3,25,109,2,7
14,26,3,6,2,2,3,10,9,2,2,2,6,33,102,4,9,9,21,4,8,4,4,1,6,7,1,3,2,4,26,94,0,8
9,18,2,6,4,7,0,6,4,3,1,2,5,24,104,6,7,12,21,2,9,6,7,3,11,8,1,1,3,4,32,98,5,9
14,23,2,5,1,3,0,10,7,3,0,4,3,31,122,4,8,11,22,3,10,1,4,0,9,6,2,3,5,3,26,115,0,7
7,24,2,6,3,6,2,9,4,1,0,1,3,19,110,3,7,10,20,5,11,4,4,1,12,5,0,1,4,6,29,96,3,8
5,18,0,4,7,11,1,5,2,0,2,2,6,17,107,3,8,13,22,5,7,8,10,4,12,5,2,2,1,5,39,123,2,7
14,26,6,7,0,0,5,13,12,3,3,1,4,34,118,2,7,4,22,0,8,0,1,3,4,3,0,1,4,2,8,93,3,7
14,25,4,7,3,4,6,7,7,3,0,2,4,35,115,6,8,10,19,4,7,3,4,0,4,5,1,0,3,4,27,107,4,8
10,19,3,9,4,4,1,6,8,1,0,5,4,27,102,6,8,9,19,1,2,1,2,3,6,2,2,0,5,4,20,112,5,7
6,22,0,2,7,10,5,9,4,1,2,2,2,19,107,3,9,11,25,2,7,4,4,3,12,7,2,1,2,6,28,100,4,8
7,21,3,8,7,8,1,5,6,4,0,1,4,24,99,5,8,12,19,3,7,6,7,1,12,9,1,1,5,6,33,101,5,8
13,20,8,11,0,1,1,12,12,1,2,4,3,34,116,6,8,6,23,1,11,2,2,3,6,3,3,1,2,4,15,95,2,8
13,22,3,6,7,9,4,9,7,3,1,2,4,36,111,7,8,7,20,0,6,2,2,2,5,3,0,1,5,7,16,80,5,9
9,22,4,6,0,0,3,8,5,1,2,3,3,22,95,2,7,9,24,1,4,4,4,6,10,6,1,1,3,0,23,98,5,9
11,22,1,5,4,4,1,11,6,1,1,3,2,27,106,4,8,11,25,3,9,1,1,3,9,8,3,1,2,3,26,112,1,9
7,22,0,7,5,6,5,5,3,2,2,8,4,19,101,3,8,13,22,5,7,7,7,2,10,10,8,1,5,4,38,125,7,9
11,24,4,7,4,4,3,12,6,4,2,2,2,30,91,4,10,7,19,2,10,0,2,1,8,5,1,1,6,4,16,101,5,9
9,22,2,7,7,8,4,11,5,0,0,2,5,27,111,6,8,10,21,0,2,8,8,0,8,5,1,1,0,5,28,113,6,8
7,18,2,5,1,2,0,10,5,1,2,3,5,17,74,3,9,9,22,2,7,3,4,3,10,8,3,2,2,4,23,87,6,10
8,23,2,8,3,4,2,11,7,2,2,3,5,21,109,1,8,11,21,1,3,4,5,0,12,8,1,0,2,3,27,105,4,9
15,24,1,4,0,0,2,10,7,3,0,2,5,31,94,2,8,10,19,4,6,2,5,2,7,5,2,0,6,2,26,105,7,8
10,25,4,10,7,10,4,9,8,3,1,1,2,31,115,4,8,12,25,2,5,1,1,2,11,7,0,1,5,6,27,87,3,8
9,23,3,6,3,4,1,12,5,1,1,4,6,24,108,6,9,5,22,2,7,4,4,2,10,2,2,0,4,3,16,110,8,9
11,20,2,7,4,4,2,6,8,4,1,2,2,28,96,6,9,11,21,1,4,3,3,4,6,5,0,0,4,2,26,86,4,9
13,20,3,6,6,8,0,8,11,2,2,2,5,35,122,6,10,11,22,1,6,8,9,3,8,4,1,0,4,6,31,120,4,11
13,23,2,5,3,4,3,8,6,3,2,2,3,31,99,4,10,10,23,1,6,3,3,3,7,7,1,0,4,5,24,105,5,9
11,28,2,5,2,4,5,9,6,1,1,2,2,26,99,1,10,13,23,3,5,1,1,1,11,9,2,3,4,4,30,126,6,10
9,18,2,6,3,6,2,10,6,2,2,9,1,23,117,7,9,12,23,1,5,2,2,1,8,7,8,2,4,6,27,96,1,9
9,21,1,3,5,6,2,9,3,2,1,4,5,24,118,7,9,12,27,3,7,1,2,5,10,3,1,0,4,3,28,107,3,9
9,26,1,3,9,10,5,10,5,0,0,1,3,28,106,6,10,13,26,1,1,0,1,3,10,7,0,0,2,7,27,95,2,9
7,22,3,10,5,6,5,9,4,1,0,4,3,22,100,5,9,12,22,2,4,0,1,0,10,7,1,2,2,6,26,106,7,10
9,20,1,6,2,7,2,8,3,1,1,2,6,21,91,2,8,9,18,1,3,4,6,0,10,3,0,1,3,4,23,102,7,11
9,23,0,4,3,3,6,5,5,0,0,4,3,21,105,2,8,15,22,3,6,1,1,1,7,9,3,2,1,2,34,119,9,10
9,18,2,7,4,6,2,10,3,3,1,3,4,24,106,5,9,7,19,1,7,4,4,1,9,3,2,2,3,4,19,96,4,9
8,19,3,8,2,2,3,5,3,2,1,7,2,21,95,3,9,16,25,1,4,3,4,2,7,5,7,0,2,2,36,106,5,10
7,30,1,9,6,6,4,14,5,5,0,3,3,21,104,3,10,8,22,4,10,3,3,0,18,6,3,4,7,5,23,122,4,9
12,22,5,10,3,4,2,14,10,1,3,3,3,32,100,8,9,8,24,4,11,2,3,1,7,6,3,1,1,4,22,93,6,9
13,24,2,5,8,9,3,8,10,4,2,1,6,36,125,3,9,8,18,2,8,9,10,1,9,5,0,2,4,5,27,99,6,11
6,25,0,8,1,2,4,5,3,0,1,3,4,13,117,6,10,12,21,1,3,2,2,4,12,5,1,5,2,4,27,119,4,10
8,19,1,6,11,12,1,9,5,2,1,5,5,28,133,8,10,12,24,1,5,7,7,2,10,8,4,0,3,8,32,120,3,11
9,24,2,10,0,0,2,10,4,2,3,4,7,20,112,7,11,9,25,2,5,8,9,6,10,4,2,1,3,1,28,105,3,10
7,19,1,7,1,1,0,10,3,1,1,2,4,16,88,5,11,8,23,1,6,2,2,5,12,3,0,0,2,5,19,69,4,11
10,22,1,1,7,8,0,13,6,1,0,2,4,28,104,6,11,10,23,1,7,4,6,1,11,6,1,1,3,6,25,88,6,11
6,16,1,3,2,2,3,7,1,1,1,4,3,15,93,4,10,11,25,1,7,0,0,6,7,4,1,0,1,4,23,77,2,9
14,22,5,7,5,7,3,10,5,2,3,3,5,38,115,6,10,11,25,2,6,2,3,3,4,6,2,3,2,4,26,88,1,10
11,19,0,1,5,7,2,8,7,3,0,3,1,27,106,2,11,10,22,5,12,1,2,3,7,6,2,0,4,7,26,105,5,10
11,19,1,2,2,6,1,12,6,0,1,3,2,25,94,8,11,9,20,1,7,0,1,0,8,7,2,0,4,5,19,90,2,9
10,19,2,6,3,4,1,5,5,1,1,3,5,25,96,7,12,12,20,2,4,7,7,2,7,3,2,1,1,4,33,102,5,10
16,27,3,6,4,4,3,12,9,5,1,2,5,39,127,10,11,5,18,1,8,3,3,1,7,3,1,0,6,5,14,95,4,10
12,25,1,6,5,7,5,10,4,2,0,3,3,30,121,9,10,11,22,1,4,2,2,0,7,5,2,2,3,5,25,117,7,10
11,26,2,5,1,1,5,7,3,5,2,4,6,25,90,2,10,10,20,1,5,1,2,2,9,5,1,0,7,2,22,93,8,10
12,24,6,10,0,0,5,7,9,1,0,8,2,30,108,3,10,13,21,3,6,2,2,1,5,7,5,2,4,1,31,115,7,10
5,24,2,11,2,2,3,9,4,0,1,3,3,14,88,7,12,14,30,2,3,5,5,6,16,4,2,1,0,3,35,113,7,11
11,23,5,9,0,0,1,11,11,1,0,3,2,27,125,7,12,11,27,3,10,4,4,3,10,7,2,2,1,1,29,118,4,11
12,21,4,9,2,2,0,10,7,4,2,3,6,30,103,6,12,8,24,0,6,3,3,4,9,1,0,0,5,2,19,93,9,11
9,21,1,5,2,4,2,11,2,1,2,3,2,21,89,5,12,8,24,1,5,2,2,2,8,3,2,3,3,4,19,82,2,12
12,24,4,9,1,2,3,11,8,3,0,3,6,29,109,2,11,6,19,0,2,3,4,1,8,2,1,0,5,5,15,102,2,10
7,20,1,9,6,7,2,10,5,1,3,3,3,21,107,9,11,10,26,2,9,4,4,3,9,7,1,1,2,4,26,100,5,10
12,21,3,3,2,6,3,14,7,1,1,4,2,29,90,6,11,7,24,3,10,0,1,3,6,4,2,2,2,4,17,83,2,10
13,27,2,5,1,2,4,11,8,2,1,1,1,29,105,5,11,12,24,2,7,1,2,0,10,8,1,0,2,1,27,102,6,12
15,20,4,6,4,4,1,7,9,3,1,5,2,38,105,7,12,12,24,5,11,3,4,4,4,8,2,0,5,2,32,103,6,11
14,24,5,9,5,6,2,9,8,2,0,2,5,38,121,7,11,12,21,3,10,7,7,0,6,8,1,1,2,5,34,127,9,11
10,26,2,4,6,7,6,11,5,3,0,3,3,28,120,4,11,7,18,1,3,2,2,0,9,4,3,1,6,8,17,104,3,12
10,19,1,3,7,13,2,11,4,1,2,1,3,28,107,10,12,10,24,4,9,2,4,2,10,7,0,1,2,7,26,111,6,11
8,19,2,3,4,6,2,11,5,0,1,4,4,22,105,4,12,12,23,2,5,1,2,1,8,10,2,1,2,4,27,110,9,12
10,20,4,4,0,0,1,11,7,2,1,4,4,24,119,3,11,8,24,0,6,2,2,3,7,5,1,1,2,1,18,112,5,12
9,28,1,9,2,5,7,8,4,1,0,1,4,21,96,3,11,11,20,3,6,2,3,2,11,10,1,1,5,7,27,73,5,11
12,22,6,11,11,11,3,10,8,2,0,2,4,41,126,7,12,12,22,2,5,3,6,1,7,6,0,1,2,5,29,109,7,13
12,21,1,5,2,2,3,10,6,2,2,3,4,27,110,4,11,7,22,2,8,2,2,4,6,3,3,0,3,2,18,86,2,12
11,21,3,8,1,1,3,9,3,0,2,3,3,26,77,7,13,9,23,1,4,6,6,5,6,1,1,0,1,2,25,85,8,12
11,23,3,9,4,4,2,8,9,4,0,2,1,29,100,8,11,13,22,2,8,0,2,1,9,8,2,0,5,3,28,96,9,12
9,22,0,1,0,0,4,6,5,2,2,5,5,18,96,6,13,13,25,1,3,0,0,2,8,6,3,3,4,2,27,116,4,13
12,24,4,6,2,2,0,15,11,1,4,3,1,30,104,10,12,8,27,3,5,0,0,2,10,6,0,1,2,2,19,81,6,13
11,22,3,7,2,2,2,8,8,2,1,5,2,27,88,6,12,12,25,3,6,2,2,5,7,10,3,1,3,3,29,104,10,12
13,25,3,6,2,3,1,9,9,1,3,0,4,31,113,3,13,8,24,4,7,8,8,2,10,5,0,0,2,5,28,101,7,14
13,22,2,7,6,7,3,8,6,2,1,4,5,34,124,8,13,13,22,8,10,6,6,1,5,10,2,1,2,4,40,105,4,12
8,23,2,7,1,1,3,14,2,1,3,3,4,19,64,2,11,6,20,3,7,4,5,1,10,2,1,1,2,3,19,80,7,12
9,20,0,6,1,2,2,9,6,1,0,5,2,19,111,4,12,12,22,3,6,2,2,0,10,8,3,0,1,1,29,113,8,12
6,22,2,7,2,3,4,9,5,1,0,4,2,16,107,7,13,11,21,4,8,0,0,1,11,10,2,2,3,4,26,116,10,13
9,25,1,3,5,5,2,4,5,1,0,2,7,24,115,4,13,14,20,4,6,8,11,3,12,9,2,3,3,4,40,121,11,13
11,21,3,8,3,8,1,8,4,5,1,0,2,28,111,8,13,9,18,3,6,1,3,1,11,5,0,0,6,7,22,102,7,14
10,23,1,4,2,4,4,8,8,1,1,1,5,23,92,6,14,10,21,6,10,4,4,3,11,7,0,3,2,2,30,94,7,13
8,25,1,8,4,4,4,11,6,3,0,3,3,21,121,4,14,9,22,4,13,1,2,1,12,7,2,1,4,5,23,116,8,12
8,23,1,5,0,0,5,12,2,1,3,5,4,17,95,6,13,4,22,1,6,7,8,4,9,1,1,2,3,1,16,87,2,12
16,27,2,5,1,1,3,3,10,3,1,2,3,35,111,3,12,13,20,2,4,5,5,3,6,5,1,1,6,4,33,114,4,12
12,25,4,12,4,6,2,11,10,4,4,3,5,32,120,3,13,7,25,0,3,5,6,6,9,4,2,2,5,6,19,105,4,14
6,19,0,5,6,6,3,9,3,1,3,3,5,18,93,8,13,5,16,2,6,4,6,2,9,3,1,1,5,5,16,71,4,12
16,25,3,4,2,2,2,8,10,3,0,3,5,37,121,5,12,11,25,2,8,4,5,4,6,9,3,0,4,5,28,124,11,13
10,20,1,3,2,3,1,4,5,0,2,3,2,23,102,12,14,15,22,3,4,0,0,2,8,8,1,1,2,3,33,95,8,13
12,25,0,5,0,0,5,8,3,3,1,2,4,24,104,6,13,7,21,1,4,5,7,6,7,3,0,0,6,2,20,94,9,13
11,23,3,8,4,5,3,6,6,1,0,2,5,29,109,4,13,13,22,4,10,2,4,3,9,6,1,1,4,5,32,129,8,15
9,25,3,8,0,0,5,6,6,2,2,7,1,21,111,8,14,13,20,3,4,1,2,1,8,9,6,0,5,3,30,115,7,14
10,22,2,6,2,4,2,14,9,1,0,4,4,24,105,5,13,5,22,0,6,4,6,4,10,0,0,1,3,4,14,91,7,15
12,21,4,7,8,11,0,7,10,2,2,2,4,36,102,5,14,11,18,1,3,5,5,0,7,4,1,3,4,7,28,99,8,13
12,26,4,8,2,2,1,8,9,4,0,0,6,30,110,7,14,11,20,0,1,8,11,2,13,6,0,1,4,1,30,118,9,14
8,18,2,8,4,7,2,7,6,2,1,3,4,22,90,8,13,12,20,4,6,4,6,2,9,9,3,1,2,4,32,105,9,14
10,27,1,3,0,0,3,8,2,2,1,2,6,21,83,7,15,12,23,4,12,6,7,2,13,10,2,2,4,4,34,120,12,14
9,19,2,6,4,4,1,8,4,1,1,5,6,24,101,4,14,12,25,3,7,3,5,5,7,7,1,2,2,3,30,94,4,13
9,24,2,7,6,7,5,9,7,4,2,2,3,26,106,4,13,7,20,2,5,4,5,2,10,5,1,2,6,4,20,101,4,15
10,27,3,7,2,3,5,5,3,4,0,2,2,25,96,6,15,9,22,0,4,0,0,5,11,5,0,1,6,3,18,99,9,14
