fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,finalpoints,wins,gp,oppfg,oppfga,oppfg3,oppfg3a,oppft,oppfta,opporb,oppdrb,oppast,oppstl,oppblk,opptov,opppf,opppts,oppfinalpoints,oppwins,oppgp
7,16,5,9,4,5,0,8,6,3,1,7,5,23,89,23,63,10,21,4,8,5,6,3,7,5,5,1,6,5,29,100,41,64
10,22,2,8,4,5,1,6,4,2,0,2,4,26,109,39,65,13,22,4,9,1,2,1,12,8,0,0,4,5,31,112,39,64
8,16,2,6,6,10,0,5,4,2,1,4,4,24,106,39,63,14,30,4,8,2,2,7,9,7,1,1,3,5,34,126,29,64
11,24,1,3,4,7,5,11,5,2,3,0,1,27,96,20,64,9,25,3,13,1,1,2,10,8,0,0,2,5,22,84,20,65
11,24,2,8,11,11,3,12,8,1,1,1,5,35,132,19,64,6,20,0,6,6,6,2,8,2,1,2,3,9,18,129,26,62
10,21,2,9,0,0,0,14,7,1,2,4,5,22,113,28,64,9,25,1,11,3,6,1,10,7,4,0,1,2,22,118,45,63
13,19,4,8,2,5,1,6,9,1,0,4,3,32,143,20,66,13,23,6,8,0,1,4,5,6,3,0,2,5,32,138,22,64
14,23,7,12,4,4,0,13,9,3,1,1,3,39,109,43,64,9,25,5,17,1,2,3,7,6,1,1,3,3,24,95,53,65
8,21,4,12,2,2,1,8,5,2,1,4,5,22,92,41,64,10,19,5,10,2,2,1,10,6,3,0,4,3,27,101,46,64
11,18,5,7,9,10,0,6,9,2,1,4,4,36,122,24,64,12,21,4,7,3,4,1,7,8,2,1,4,5,31,115,20,65
10,25,2,5,0,0,3,9,6,2,2,3,2,22,111,39,65,11,23,4,8,4,4,3,12,6,1,2,3,3,30,114,43,64
9,20,3,9,5,7,1,8,6,1,1,5,5,26,117,40,64,13,25,5,12,4,6,3,11,7,3,0,3,4,35,111,19,64
11,25,5,11,0,0,1,9,9,3,2,4,5,27,119,27,63,11,22,5,9,2,2,1,12,8,2,2,4,4,29,109,39,66
13,20,4,7,5,7,1,6,10,4,3,6,2,35,115,32,65,10,25,5,12,2,2,5,5,7,5,0,5,5,27,120,30,65
12,25,3,9,0,0,6,7,5,4,2,6,7,27,108,22,65,10,21,1,8,8,10,4,6,9,3,4,6,4,29,103,19,65
15,22,5,7,1,2,1,7,7,3,2,2,3,36,121,29,66,11,23,2,8,4,4,2,6,8,1,0,4,1,28,105,26,65
12,23,5,10,4,4,2,10,8,2,2,3,5,33,102,49,63,10,28,2,12,5,5,6,8,6,2,1,2,3,27,104,30,64
10,20,2,7,4,6,1,7,5,1,0,2,5,26,107,15,65,12,23,4,9,7,7,4,10,6,1,0,3,4,35,131,44,64
12,21,4,10,6,7,2,9,8,1,4,2,3,34,124,39,65,10,22,4,12,5,5,1,7,6,2,0,2,6,29,106,20,66
9,28,3,14,3,4,5,10,5,1,1,3,5,24,131,20,67,12,24,2,8,7,7,2,14,8,2,1,2,4,33,136,21,66
16,19,8,9,0,0,0,7,13,4,5,5,4,40,98,41,65,8,23,2,6,4,4,5,3,4,1,0,6,2,22,109,23,65
11,24,7,12,4,4,4,10,6,1,1,2,2,33,113,40,67,12,22,5,10,0,1,0,9,8,2,0,3,2,29,97,43,65
14,24,7,12,5,5,1,12,7,2,1,5,4,40,125,1,1,9,28,2,10,5,6,4,8,5,2,0,3,5,25,99,0,1
7,18,2,8,3,6,1,4,4,2,0,6,6,19,109,0,1,14,20,5,10,6,7,2,10,9,5,0,5,4,39,116,1,1
9,22,2,8,4,5,4,12,8,3,2,4,4,24,121,1,1,10,24,3,11,0,1,3,7,9,4,2,3,4,23,114,0,1
13,24,2,9,7,10,2,7,6,3,3,5,3,35,121,1,1,12,22,5,8,4,4,1,8,8,5,1,7,9,33,107,0,1
12,22,2,7,1,3,2,8,6,5,1,7,4,27,113,1,1,11,21,4,6,3,4,1,8,8,5,1,5,2,29,107,0,1
14,25,2,4,0,2,2,11,6,3,3,4,2,30,113,1,1,12,25,2,6,0,1,1,9,8,3,0,3,3,26,107,0,1
10,21,3,10,3,4,1,12,6,3,2,7,7,26,99,0,1,10,24,1,8,2,8,4,8,9,5,2,6,5,23,113,1,1
11,27,7,15,2,2,3,8,9,2,0,1,2,31,122,1,1,14,24,5,13,1,1,1,12,10,1,0,4,3,34,121,0,1
10,25,2,11,7,8,4,6,5,2,1,4,7,29,104,0,1,16,23,3,9,7,9,1,9,7,2,0,2,5,42,124,1,1
13,26,5,11,2,3,0,9,6,2,4,0,4,33,119,0,1,9,22,3,8,9,10,2,14,3,0,0,4,3,30,131,1,1
9,23,2,11,5,6,4,7,5,0,0,3,6,25,111,1,1,14,24,4,6,2,3,1,10,9,1,0,1,5,34,101,0,1
12,20,3,6,4,5,1,11,9,2,2,5,4,31,122,0,1,9,23,3,9,4,5,4,8,8,0,2,4,6,25,124,1,1
9,24,5,10,2,5,1,10,7,1,2,1,3,25,100,0,1,13,27,6,12,0,2,3,14,6,0,2,1,5,32,120,1,1
8,21,3,9,4,4,0,15,4,1,4,7,10,23,106,1,1,7,25,2,11,6,7,2,11,4,2,0,2,5,22,102,0,1
11,20,7,12,0,0,2,8,10,1,0,6,5,29,111,1,2,8,21,2,9,8,8,3,7,8,2,0,4,1,26,98,1,2
11,22,5,8,6,9,1,12,6,0,1,4,5,33,138,1,2,7,24,2,13,9,11,1,13,4,2,3,3,8,25,99,0,2
8,26,3,8,3,4,7,10,6,0,4,5,7,22,95,1,2,9,22,3,8,5,6,3,7,6,1,3,2,5,26,123,2,2
13,23,3,8,4,5,4,9,8,2,0,2,3,33,138,1,2,11,20,4,8,4,4,0,7,5,2,1,2,4,30,115,0,2
8,17,2,6,8,10,2,4,7,3,0,5,5,26,108,0,2,10,18,6,10,6,8,3,8,10,4,0,6,11,32,121,2,2
9,24,2,11,2,4,4,12,5,0,1,4,2,22,112,0,2,11,25,3,13,2,2,1,12,5,3,0,3,6,27,122,2,2
9,18,3,7,7,9,1,9,7,1,2,4,4,28,107,0,2,11,24,2,10,2,2,3,9,8,3,1,2,5,26,109,1,1
9,22,4,9,4,6,1,11,6,1,1,4,3,26,119,0,2,11,22,4,7,0,1,1,8,4,2,1,6,3,26,128,2,2
11,25,5,11,5,8,2,9,7,1,1,5,5,32,120,0,2,13,22,3,7,3,4,0,12,4,2,0,5,6,32,130,2,2
10,24,3,9,4,7,4,10,4,1,2,2,3,27,89,0,2,11,27,3,9,2,4,5,9,3,2,2,1,6,27,109,2,2
9,26,4,10,6,7,3,8,7,0,1,2,2,28,106,0,2,13,25,1,7,0,2,2,11,7,2,2,2,6,27,125,2,2
13,26,4,11,3,3,4,4,10,1,0,4,6,33,119,2,2,16,26,4,8,3,4,5,7,13,4,1,2,5,39,114,0,2
10,24,3,6,4,4,4,8,7,1,2,7,4,27,111,1,2,11,24,3,6,6,7,3,8,3,3,3,2,5,31,116,2,2
10,27,5,13,2,4,5,7,7,1,1,2,2,27,128,1,2,12,19,3,6,4,4,0,10,9,1,1,4,4,31,126,0,1
13,23,2,8,3,4,4,8,10,3,3,5,6,31,106,2,2,11,25,3,12,0,0,2,5,6,1,0,4,4,25,103,1,2
5,22,0,9,3,4,2,8,1,0,0,3,4,13,73,2,3,14,27,4,11,4,4,4,15,8,3,2,2,2,36,124,1,3
6,25,1,12,3,4,5,12,4,3,1,2,2,16,98,2,3,7,22,2,7,2,2,1,14,6,1,2,3,2,18,95,2,3
14,23,4,9,3,4,1,12,10,1,1,4,5,35,113,0,3,10,25,4,7,5,5,3,9,7,2,1,2,4,29,120,3,3
9,23,2,10,3,4,3,11,9,3,1,5,5,23,106,1,3,7,23,4,16,4,6,3,11,5,2,3,5,3,22,104,2,3
13,30,3,8,0,0,4,9,11,2,2,1,4,29,118,3,3,8,20,3,9,5,5,1,11,8,1,4,5,4,24,94,2,3
11,21,3,7,5,5,2,9,4,2,1,4,3,30,130,1,3,11,23,2,11,3,5,3,7,6,1,3,3,5,27,110,1,3
9,27,1,10,0,1,4,7,4,5,1,2,4,19,108,3,3,9,16,2,5,3,6,0,14,5,1,2,7,4,23,107,1,3
9,18,2,9,7,10,0,13,5,0,2,4,4,27,128,0,3,9,26,2,9,4,5,2,8,7,3,1,4,8,24,129,1,3
12,19,3,7,6,8,1,11,9,1,3,1,2,33,100,2,3,11,23,5,8,1,1,0,7,8,0,0,1,4,28,116,2,3
15,21,6,10,4,6,1,13,9,1,3,7,4,40,127,2,3,11,31,0,10,1,1,4,5,5,5,0,3,7,23,91,2,3
8,22,4,10,3,4,2,10,7,3,2,4,4,23,111,2,4,12,26,4,9,4,6,4,11,7,2,2,3,3,32,116,1,3
13,21,6,12,1,2,0,10,10,1,2,2,2,33,128,3,3,10,24,3,10,2,2,3,7,5,0,0,1,3,25,120,0,3
9,20,5,13,1,2,1,9,7,0,1,5,5,24,109,1,2,10,22,1,6,1,2,2,10,5,3,1,4,4,22,110,2,3
13,23,4,8,6,10,3,9,9,4,0,4,3,36,124,1,3,9,19,5,9,3,4,2,7,7,2,1,6,7,26,111,0,2
12,24,5,8,1,1,1,11,8,2,2,3,3,30,107,2,4,7,23,3,14,5,5,3,10,3,2,1,4,2,22,115,2,3
6,25,0,10,3,4,4,7,4,4,3,4,2,15,86,3,4,11,22,5,8,2,2,3,14,8,4,3,7,3,29,95,2,4
9,28,4,10,7,7,6,10,4,1,0,2,4,29,106,0,4,9,20,3,10,3,6,1,8,6,1,1,3,7,24,116,2,4
9,20,6,13,2,2,0,8,8,1,2,5,5,26,111,3,4,11,23,3,6,6,8,5,10,7,3,0,4,3,31,116,2,4
11,20,3,7,1,1,1,10,9,1,2,5,8,26,107,0,4,10,24,5,12,6,9,3,5,6,1,0,2,3,31,115,1,4
6,26,2,10,3,3,1,11,3,3,3,1,4,17,100,3,4,10,24,6,15,2,2,3,17,8,1,3,4,2,28,93,0,3
10,17,4,9,2,2,0,5,3,3,1,10,5,26,97,1,3,17,25,8,12,4,4,1,6,13,8,0,5,3,46,144,2,4
11,24,3,7,2,2,1,8,5,0,1,3,3,27,107,1,3,15,24,3,6,1,3,2,10,8,2,2,2,3,34,118,4,4
11,19,7,11,2,2,2,5,8,1,0,6,5,31,111,3,4,13,18,1,4,2,6,1,6,8,4,1,4,2,29,86,2,4
10,19,4,7,8,9,2,6,7,1,0,5,3,32,125,3,4,16,24,1,4,1,1,2,6,10,3,0,3,4,34,115,1,4
11,22,5,10,6,7,2,7,8,1,3,4,6,33,124,3,4,10,22,4,9,5,6,3,7,9,3,0,3,5,29,101,2,4
10,19,2,9,3,3,0,16,5,1,1,10,6,25,119,2,4,5,22,3,12,6,6,1,7,3,7,0,4,5,19,108,2,5
15,30,4,10,4,5,3,6,8,2,1,1,4,38,145,3,5,16,24,5,10,4,5,2,11,9,1,1,5,5,41,141,3,4
12,24,4,6,3,4,4,8,5,7,0,4,4,31,126,3,5,8,18,1,8,2,4,3,9,6,1,3,8,2,19,107,1,4
11,19,4,9,3,6,1,6,9,3,1,5,7,29,99,1,4,12,24,5,11,7,7,4,8,9,3,1,5,6,36,118,2,4
11,22,2,4,3,4,0,8,11,2,1,3,4,27,107,2,4,14,24,5,9,2,2,2,10,7,2,2,2,5,35,121,3,5
13,24,8,12,3,4,1,9,11,2,3,1,2,37,128,4,5,9,19,5,9,3,4,0,8,6,1,1,3,2,26,105,2,4
12,20,6,10,2,2,1,10,9,3,0,4,6,32,119,4,5,8,26,3,6,2,8,9,6,5,2,1,4,5,21,99,3,5
13,19,6,8,9,11,1,7,9,2,0,3,4,41,130,0,5,14,27,6,10,1,2,3,7,11,1,0,2,6,35,133,2,5
7,23,1,7,7,9,3,9,4,0,1,2,5,22,92,4,5,13,26,6,10,6,6,2,13,9,1,3,1,7,38,116,4,5
11,22,4,11,6,7,0,9,7,2,1,2,4,32,122,1,3,12,21,4,10,5,8,1,10,9,1,1,4,5,33,119,3,5
7,20,4,13,4,7,2,11,6,3,0,5,4,22,100,1,4,7,24,2,8,2,2,4,12,5,1,0,5,6,18,83,2,5
10,21,7,16,1,3,2,7,9,1,0,5,4,28,80,1,4,13,26,2,6,4,7,5,10,8,1,0,2,2,32,113,3,5
8,18,1,5,5,9,1,11,3,3,1,3,2,22,95,2,4,9,23,3,8,0,0,2,9,4,2,0,4,6,21,106,4,5
7,24,2,8,3,7,5,7,5,3,0,3,3,19,93,2,5,9,22,3,9,2,2,3,11,4,1,2,4,4,23,108,2,5
6,16,1,7,7,9,2,12,3,0,0,5,5,20,93,2,5,6,18,0,7,4,6,0,8,3,3,0,2,7,16,83,2,5
12,24,3,10,0,0,2,10,8,4,2,4,3,27,96,1,5,5,19,1,6,1,2,2,9,2,2,1,7,1,12,93,3,6
10,26,0,10,3,3,5,10,5,3,2,6,2,23,96,3,6,13,27,3,9,0,0,3,10,5,3,0,4,5,29,114,4,5
10,24,5,12,2,2,1,10,7,1,1,3,4,27,126,3,6,8,21,2,4,3,4,1,10,2,2,0,3,3,21,96,2,6
11,21,2,7,1,4,2,11,5,0,1,4,4,25,109,2,5,15,26,5,8,2,3,1,10,10,1,0,0,3,37,130,1,6
11,20,6,13,3,4,1,8,8,0,2,5,5,31,103,2,5,9,26,4,7,3,4,6,7,7,3,1,4,4,25,109,4,6
12,22,4,8,4,5,1,9,9,3,0,3,3,32,103,1,5,12,21,7,12,3,3,0,8,10,1,1,4,3,34,106,5,6
13,25,5,9,0,0,4,10,6,1,2,3,6,31,106,3,5,6,24,3,7,4,4,3,5,4,1,2,1,3,19,100,4,6
8,22,3,10,2,2,0,9,5,1,1,4,8,21,98,2,5,12,23,7,10,5,9,2,12,4,2,0,2,3,36,123,3,5
